word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
9.996577875184605944e+00 9.938477036861078417e+00 9.690326031607229496e+00 9.949822251203510604e+00 9.957313375959007118e+00 9.973452535273315434e+00 9.968248298626829040e+00 9.845268455032680777e+00 9.782920977983179611e+00 8.920793218654115009e+00
9.998744791315534286e+00 9.977801485643579937e+00 9.772629489444513595e+00 9.902962334584362480e+00 9.941990700008425108e+00 9.572357817606265584e+00 9.955402521138781324e+00 9.693948669190051604e+00 9.188462783779703713e+00 8.346454362548493933e+00
9.982183733856485830e+00 9.974323846661047099e+00 9.819134943103875912e+00 9.591878838645707006e+00 9.910109712746720589e+00 7.804019217351092053e+00 9.952739481970255042e+00 9.903844590370956880e+00 8.032647198544481171e+00 8.520000637356128337e+00
9.995922273596852037e+00 9.991322435316407180e+00 9.689642421217349977e+00 9.964436805101097860e+00 9.888647997555120028e+00 8.743855694508274823e+00 9.974537019221012102e+00 9.313413002211607505e+00 7.944255870907736217e+00 9.569432507007180178e+00
9.984792409285882187e+00 9.984877774302525211e+00 9.715454831003775382e+00 9.983049734382598572e+00 9.712958092734764293e+00 9.314043020422934305e+00 9.990919127463504523e+00 9.344866698142489270e+00 8.057652308902138572e+00 9.160189723027819753e+00
9.992734027944278452e+00 9.976137330034863027e+00 9.976679447883894269e+00 9.926207465097318661e+00 9.876235729391778406e+00 8.830084458589322338e+00 9.984056150720954648e+00 9.209099665318998262e+00 9.648021049815181271e+00 9.464572736711433620e+00
9.983837833984027910e+00 9.992302213088054330e+00 9.892460510290929321e+00 9.665663620710510884e+00 9.371796782213335675e+00 8.574115724657708881e+00 9.920966132614456257e+00 9.816385763183678392e+00 9.823186968034185895e+00 9.626085053453063978e+00
9.949017913662894230e+00 9.959422358460313873e+00 9.862505535410267754e+00 9.665208493989112526e+00 9.149695235374666780e+00 8.601257339392518020e+00 9.986225766833007000e+00 9.855741721427202506e+00 9.224541346086796878e+00 9.571939679277789992e+00
9.906863836630009246e+00 9.939402044526927327e+00 9.777287784637584522e+00 9.899553872666714938e+00 9.696034363661466315e+00 8.744106646602340049e+00 9.799537678608331248e+00 9.942981053938716229e+00 9.025646168460905727e+00 8.555548740382665329e+00
9.850843149061898174e+00 9.964723778338713700e+00 9.753853973741497541e+00 9.881997727510940521e+00 9.941397915144925435e+00 9.989010182770174495e+00 9.881697444858907886e+00 9.874132559847890178e+00 9.293672035790367048e+00 8.599359713610212452e+00
9.828565265049476807e+00 9.989351102674577376e+00 9.879997618424855688e+00 9.991281272676085123e+00 9.956067821548042929e+00 8.244437261985908094e+00 9.941080172624671363e+00 9.931330359565412991e+00 8.487719420320088304e+00 8.978286117667698463e+00
9.956573733387006797e+00 9.964127795578724189e+00 9.968085651345322873e+00 9.915631827928933717e+00 9.682991208493602286e+00 8.480065308596843821e+00 9.980584374602642583e+00 9.990830601957402024e+00 8.091054854322360157e+00 9.013785966171802500e+00
9.996960651736747749e+00 9.986950650866404544e+00 9.953232783134916772e+00 9.830219338559277986e+00 9.234680314065320417e+00 9.130996228418206684e+00 9.970366166194439828e+00 9.923303871527087594e+00 8.522318762470426634e+00 9.106533159449586634e+00
9.993863408066392395e+00 9.974829298317278159e+00 9.900881953308596550e+00 9.381228056560228623e+00 9.686330336198352597e+00 8.347137851784477647e+00 9.920379126873722697e+00 9.977460112232108713e+00 9.324391380468323831e+00 9.757702299308022020e+00
9.951648086146837713e+00 9.922520677847845860e+00 9.836152535888425419e+00 9.320550558589657086e+00 9.742688269547848279e+00 8.958233864365816146e+00 9.989978204574471832e+00 9.656784831452517537e+00 7.935221128394932322e+00 9.649039637618415099e+00
9.981733701189336116e+00 9.918541260128094450e+00 9.936954786874647283e+00 9.663841679895021741e+00 9.570941935609706519e+00 9.131529250095134387e+00 9.988553261545263240e+00 9.706886029633588819e+00 9.355343675432704842e+00 9.606789948087095965e+00
9.984289678528160294e+00 9.951724108791131229e+00 9.837038342419944570e+00 9.530804912962654640e+00 9.925089811897178649e+00 8.724573252984042071e+00 9.995745108060045681e+00 9.637635295221677723e+00 8.371131227710264966e+00 9.763808148324038427e+00
9.827524126951329819e+00 9.923125291263607650e+00 9.997285329703204937e+00 9.612341990933499503e+00 9.897409489286635775e+00 8.400433058468223635e+00 9.997772607062170636e+00 9.376544707155677116e+00 9.542973875412741336e+00 8.925570787179001542e+00
9.992079334673633184e+00 9.982649696529502847e+00 9.825100256278638255e+00 9.507259673994383320e+00 9.893956061751547182e+00 7.624217133743742103e+00 9.975621112489605480e+00 9.270099693723116374e+00 8.231272744180964551e+00 8.658942696519247306e+00
9.932998691352763032e+00 9.991246520389777785e+00 9.829753368276545444e+00 9.954765220073650056e+00 9.924110768375657088e+00 9.705183247246443656e+00 9.812244095997117554e+00 9.609381853454003419e+00 8.198192662054585966e+00 8.546368080075609441e+00
9.874456760101010033e+00 9.992624794429184831e+00 9.825745246105714870e+00 9.767318835410051747e+00 9.777923532534785522e+00 9.182440445024464992e+00 9.849633978445927696e+00 9.931757419491722416e+00 8.029626417551224193e+00 9.024852775147481410e+00
9.881298654159873962e+00 9.977913365682478997e+00 9.826737359920176829e+00 9.536482691451229954e+00 8.862038354683203778e+00 9.824044479697420229e+00 9.907838326624469616e+00 9.999469470358530288e+00 7.890956715905699248e+00 9.288673176557360023e+00
9.908205339998504613e+00 9.992306780131547939e+00 9.620505107024451164e+00 9.912542295911146439e+00 8.755611308613350019e+00 9.850590113642059720e+00 9.970330760412847937e+00 9.988994364469226284e+00 9.090943145381025658e+00 9.308983336978512213e+00
9.941671072403003961e+00 9.989643779683692770e+00 9.341622600044702907e+00 9.990452083022693941e+00 9.062051265538922706e+00 9.985729714198829043e+00 9.988464991453772868e+00 9.931454762708636252e+00 9.625736252378480629e+00 8.723062920083823002e+00
