log.prior	log.likelihood	log.likelihood.test.set
-1.517788743254841938e+04 -1.615142193048821537e+04 -2.603801758389578481e+03
-1.518485138812805417e+04 -1.614701783839146810e+04 -2.596253160753939483e+03
-1.519150759958723393e+04 -1.615118852008211252e+04 -2.598999263707251430e+03
-1.520192168080530791e+04 -1.615121636174898777e+04 -2.600049293803090677e+03
-1.519832861838917415e+04 -1.615548665610005446e+04 -2.604866507925125916e+03
-1.519183121027285415e+04 -1.615452081548491151e+04 -2.601897524049109052e+03
-1.519831552995463971e+04 -1.615037678935818076e+04 -2.604330466555818020e+03
-1.522117796805135549e+04 -1.614024321418671389e+04 -2.603505440547334729e+03
-1.519876364948338414e+04 -1.615264328463430684e+04 -2.604224015599448649e+03
-1.518575979602161533e+04 -1.615006617088692292e+04 -2.607911108109255565e+03
-1.518232083088119725e+04 -1.613860127101786020e+04 -2.607204244158354413e+03
-1.517110965612038490e+04 -1.615304491504636098e+04 -2.606232229321845807e+03
-1.518010829602124795e+04 -1.614937342966327560e+04 -2.606262895382019451e+03
-1.515852947890384348e+04 -1.614307837263978581e+04 -2.596862701350476982e+03
-1.515469376135761195e+04 -1.614186647728663229e+04 -2.608197110398019959e+03
-1.517179618803935409e+04 -1.614553927168763767e+04 -2.606880749934184223e+03
-1.517065740581661521e+04 -1.615258124767974004e+04 -2.608710264929551158e+03
-1.514822565033086357e+04 -1.615530213430933509e+04 -2.611510021582295849e+03
-1.515090053444173282e+04 -1.615546381515724352e+04 -2.611862982100256886e+03
-1.517189427374842671e+04 -1.615662059328404030e+04 -2.609807958106163824e+03
-1.515916215911917971e+04 -1.615689781103296264e+04 -2.610629216040159463e+03
-1.518763102293314114e+04 -1.615743475825247697e+04 -2.609126026414691296e+03
-1.520142227073584399e+04 -1.615340261950383865e+04 -2.613025285614914992e+03
-1.521351891532962509e+04 -1.614549620236100600e+04 -2.612695964690767141e+03
-1.521257104936473843e+04 -1.614825764110581076e+04 -2.612134824654006025e+03
-1.520657067718840699e+04 -1.614844693587192342e+04 -2.610439349489472988e+03
-1.520005219073560875e+04 -1.614729941904189945e+04 -2.611126661399839577e+03
-1.523397424992979904e+04 -1.615025898454939670e+04 -2.612469796383891662e+03
-1.523339540401507111e+04 -1.614775418125814031e+04 -2.608121287840794139e+03
-1.521479199312894889e+04 -1.615264817546030463e+04 -2.608009754137226082e+03
-1.522106958451914034e+04 -1.614226720265613403e+04 -2.609206498999495125e+03
-1.521998144502886680e+04 -1.615799727111996253e+04 -2.605780927902345411e+03
-1.523703768055864202e+04 -1.614752417425865860e+04 -2.598694256282135029e+03
-1.521067167248489204e+04 -1.615264442811355002e+04 -2.597571281269816609e+03
-1.521482294989179718e+04 -1.614391032185363838e+04 -2.605919793088772167e+03
-1.522605909324146705e+04 -1.614321102102435543e+04 -2.604114155686993399e+03
-1.522360951094362645e+04 -1.614512856007614209e+04 -2.603944750010709413e+03
-1.523022927334346423e+04 -1.614378831624960731e+04 -2.602614170162678874e+03
-1.526740378917874295e+04 -1.614203548962545574e+04 -2.607678659015391986e+03
-1.525643939809238873e+04 -1.614408225263593522e+04 -2.608660203239574003e+03
-1.521930721824884313e+04 -1.615380971461534864e+04 -2.610556780869085287e+03
-1.521667240803521781e+04 -1.615978334340927904e+04 -2.612304919610376146e+03
-1.526019809230016290e+04 -1.613964350948282663e+04 -2.603945114658650709e+03
-1.523455799193022176e+04 -1.615566583180346970e+04 -2.603328024485144851e+03
-1.524464377520916605e+04 -1.613856532726877776e+04 -2.607420520833532919e+03
-1.527137399578563964e+04 -1.614539196145955430e+04 -2.613055210616915701e+03
-1.526259540233872212e+04 -1.613815448787349851e+04 -2.612921918209120577e+03
-1.526317296288521175e+04 -1.613174057005145369e+04 -2.608470537370858892e+03
-1.528002138958206706e+04 -1.614571417997238859e+04 -2.607236308502592237e+03
-1.525692574999735189e+04 -1.615243623414832109e+04 -2.606199671389658306e+03
-1.522788171817799048e+04 -1.615093062123312484e+04 -2.606424496090942284e+03
-1.522193407906336506e+04 -1.613523387145587913e+04 -2.602506769849600914e+03
