time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
9.537490574702505342e+01 9.569544297821194334e+01 7.464402030681418410e+01 1.058490006043013523e+02 1.040822013261077217e+02 9.796974824071780574e+01 1.092022472866929661e+02 1.049505513279628133e+02 1.237472967054112871e+02 1.022097221500763453e+02
9.641868326821551705e+01 9.159881806488026257e+01 8.062116898371112939e+01 9.800175227151001422e+01 1.087863947409983467e+02 1.000378562620549303e+02 9.902655787437137747e+01 1.203731092774773401e+02 1.085711402684055997e+02 9.273547649308260077e+01
1.099152315038498955e+02 1.009445983260868331e+02 9.073776274183686041e+01 1.097611030519440476e+02 9.062099144788525962e+01 9.948976232928237096e+01 1.044108404365886713e+02 1.082779527314205126e+02 9.773504920062080714e+01 1.020384598943038270e+02
1.132588823187921605e+02 9.615808820709887073e+01 1.000540414701232379e+02 9.945311756792148117e+01 1.113436389754983793e+02 9.751429984786153682e+01 1.148107188821987279e+02 1.093390268373517671e+02 9.641453651410154180e+01 1.049415887757575376e+02
1.116952404528897489e+02 9.567836094112124101e+01 1.002188350456146821e+02 1.015075838708812910e+02 1.081017655119799343e+02 1.098816460252398883e+02 1.163373342753769037e+02 1.058132804217179057e+02 9.364565773779031588e+01 9.910615847855868310e+01
1.119869585909776788e+02 9.135486234989865295e+01 9.859774429847063004e+01 1.024012403316181690e+02 9.638952722511471904e+01 1.053788749288452351e+02 8.697819683064439289e+01 1.009784643877697903e+02 9.222790428383244432e+01 1.043562043808325370e+02
1.010989539312876104e+02 9.940907272672482975e+01 1.038233806435405029e+02 9.882795113391013331e+01 9.902731441767365084e+01 9.053579389924657050e+01 8.929350861997812672e+01 9.104873237810015496e+01 9.804168149393018439e+01 1.007293779927047837e+02
1.040199500438565678e+02 1.184338759900777234e+02 9.055703115829672356e+01 9.692814073219469151e+01 9.708566357519833900e+01 1.117397657900508534e+02 1.087660383174665810e+02 1.020517343268317489e+02 1.000354069607198255e+02 1.069210905279717281e+02
1.049125459073715376e+02 1.060162659726844510e+02 9.007376611498523289e+01 1.094843145292567499e+02 1.037523097009296862e+02 1.083072857116659833e+02 9.605722133553571496e+01 1.054833081863441464e+02 8.770879147610524740e+01 1.059736332467056457e+02
9.981034241962922238e+01 9.827745273452545405e+01 8.904309773960704888e+01 1.017985658543105103e+02 1.023650763625304307e+02 1.071918715001870197e+02 1.027752455835858285e+02 1.063400685507943990e+02 1.063132857605003778e+02 1.024587213569723758e+02
8.848964968725101699e+01 1.038822093451532282e+02 9.956261003752626948e+01 9.848533740356290878e+01 9.781062016431033612e+01 1.009805451526539457e+02 1.073346975190657702e+02 1.060957908608500304e+02 8.927644123980428503e+01 1.054701214186810176e+02
8.703538797027533747e+01 8.937093850039035203e+01 1.088959228726443484e+02 9.270449993184888626e+01 1.023511842373583107e+02 1.101477294198677157e+02 8.681363074279647662e+01 1.012686209658120049e+02 8.443010685542529359e+01 9.576208121333677070e+01
8.792737200073439396e+01 9.179572618239220105e+01 1.013925368877272177e+02 1.029393824596803455e+02 1.056684669174765361e+02 1.015896073087753706e+02 9.353492917160214404e+01 9.641039998153118518e+01 1.111066478333183341e+02 9.097763379212575785e+01
1.099167153273659636e+02 8.322659635102031928e+01 9.769940461822821476e+01 1.022865191060975008e+02 1.092342786848228258e+02 1.000946736412106333e+02 1.034476204925771583e+02 1.024594570079882914e+02 9.483232093015433861e+01 8.983012596193375998e+01
1.089060035410686567e+02 9.618456794345533467e+01 9.588648924609779556e+01 1.051099113032507120e+02 9.292478328346274452e+01 1.032728275238747955e+02 9.284764745610637249e+01 1.006771237034696753e+02 1.087369755768223882e+02 9.754295023866713166e+01
1.288621947413762427e+02 1.160404619775750916e+02 9.371836465581158393e+01 1.049467485859049845e+02 1.031571104308652309e+02 9.005342522453622678e+01 9.154637858709273246e+01 1.077660377234256401e+02 1.080638440126103319e+02 1.172165467548940114e+02
1.218050774577139350e+02 9.186927631516917359e+01 1.139603271018938528e+02 9.821755300273463263e+01 9.762192480240769044e+01 9.121236235661967839e+01 9.643223073079985852e+01 1.136579623053060573e+02 1.065891179752740499e+02 1.111979735982252606e+02
