word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	word.concentration.11	word.concentration.12	
9.821408279726105306e+00 9.984532147956159065e+00 9.295949048525557146e+00 7.824284024197350362e+00 9.923152268479915605e+00 9.764977214575599973e+00 7.093309347098093021e+00 9.030319442127151319e+00 9.607269032721164947e+00 8.376384870050133102e+00 9.898575893254596636e+00 8.899736272275651672e+00
9.886037668876792139e+00 9.982624308754553866e+00 9.748551742141605914e+00 9.653448095309716592e+00 9.935577861133028321e+00 9.925394184211279835e+00 8.320781816293404631e+00 9.705447628349325839e+00 9.332613017830430735e+00 7.976046194954715673e+00 9.884274513598496625e+00 8.133864925096871090e+00
9.959142109193189540e+00 9.934718969526425525e+00 9.687201349043068177e+00 9.413004137949467776e+00 9.819015319930992192e+00 9.985402488570544577e+00 6.037165030315924774e+00 9.979136922049855585e+00 9.517748620313042807e+00 7.545630655277605570e+00 9.891638403689755776e+00 9.528049307301229121e+00
9.991025879635651918e+00 9.880704036405873580e+00 9.643755518136952531e+00 9.771686984857108627e+00 9.806411499931057207e+00 9.967263124081096493e+00 9.373777212491770428e+00 9.818261089126881558e+00 9.912247597210232186e+00 7.661987585265134015e+00 9.962298643886075666e+00 7.693970198071659716e+00
9.960903198673944914e+00 9.786290752240164537e+00 9.783521993403267558e+00 9.768577323408194957e+00 9.955656304767476428e+00 9.892752138484029345e+00 9.893391762433411785e+00 9.702456276086001807e+00 9.373847835556748720e+00 8.546372311564063295e+00 9.927764795444508295e+00 7.609210372985709903e+00
9.988403497209775495e+00 9.460887803413397634e+00 9.988197351926269008e+00 9.371521344464602166e+00 9.462422972543961919e+00 9.912710563230767491e+00 9.689690362241325516e+00 9.733256988238197849e+00 8.922788877053914547e+00 9.647405131535254696e+00 9.748047301623252281e+00 8.146243904052912654e+00
9.984134979745503458e+00 9.676354204754147759e+00 9.953238532417001849e+00 7.723601422345343082e+00 9.385077869982810128e+00 9.999425219681459254e+00 6.615440926130290222e+00 9.695891786973506399e+00 9.093630017955357303e+00 9.744496181858975703e+00 9.727071910416409395e+00 8.971448211026608277e+00
9.909407294653579612e+00 9.981109072770376400e+00 9.930354995456347922e+00 8.498495411954028356e+00 9.377150648821563905e+00 9.969281159395849912e+00 9.494813723618015899e+00 9.574047786239914259e+00 9.472108923115806434e+00 9.104780222051251926e+00 8.412070970304883488e+00 8.613762280394308135e+00
9.733758119978581647e+00 9.970642190046184794e+00 9.923917831106097154e+00 9.104861245838455019e+00 9.399068073318373351e+00 9.873136435632103414e+00 6.876704787078318226e+00 9.713808295489528177e+00 9.215523326392304426e+00 9.265172489877365081e+00 8.659249115167176214e+00 8.875089470531131397e+00
9.784557861144222102e+00 9.972656762385113893e+00 9.808198222467238381e+00 8.999291722889870115e+00 9.176458046449246453e+00 9.836757392618258322e+00 8.945863067145076286e+00 9.948353290421101391e+00 8.438399241146647967e+00 9.015540254244525542e+00 8.450351991478907365e+00 9.900029877590252880e+00
9.774888418864485118e+00 9.981491310114657622e+00 9.925828155755549886e+00 8.569048570558395639e+00 9.531648054828316674e+00 9.741448181581146670e+00 9.177529576966581004e+00 9.794447657504745663e+00 8.036642915032969015e+00 9.270610478205341565e+00 9.619651552069779399e+00 9.367645850450836420e+00
9.991322019179238012e+00 9.972982108877218366e+00 9.944671459489121901e+00 9.814264782035303725e+00 9.671274831503685832e+00 9.695950694905876688e+00 7.529902193163285240e+00 9.634329015928095430e+00 8.915231689353575462e+00 9.334890479001421326e+00 9.579945502810831570e+00 7.944667093614129705e+00
9.994521102783275879e+00 9.921035314784139914e+00 9.642199387950146416e+00 8.905270352262679268e+00 9.631500637337568449e+00 9.738545823119835632e+00 7.747399142178035270e+00 9.797810577038410074e+00 8.935963832165640497e+00 9.132022435065080046e+00 9.534993768014095039e+00 6.673163036324057273e+00
9.884990702482276959e+00 9.996045709172399540e+00 9.991343215296431879e+00 9.613543543142125003e+00 9.658788979584416623e+00 9.931916960687686924e+00 8.458360013854921533e+00 9.689608919114411023e+00 7.964378447571335506e+00 9.690415279308805196e+00 9.672188014320134641e+00 8.249389749667518146e+00
9.999667308185822279e+00 9.849348044728722940e+00 9.706997415859408562e+00 9.712852463814909854e+00 9.740753689913800528e+00 9.953903712155778294e+00 9.351281725654803978e+00 9.648480309896742213e+00 9.640558303969928744e+00 9.767080108140701711e+00 9.756852358137980019e+00 9.532506513707071250e+00
9.903137501952521404e+00 9.887938642892454055e+00 9.667256648644901418e+00 8.807077909793093795e+00 9.660184838145706721e+00 9.955048462454049840e+00 8.041924027780321893e+00 9.904484846901812745e+00 9.965518115251708053e+00 9.954528691897785109e+00 9.336223234408430827e+00 8.569915700365310585e+00
9.945064188842787090e+00 9.884526865914159188e+00 9.677854204993495912e+00 9.501834568793018576e+00 9.895785321430901504e+00 9.973361810721684151e+00 9.154913996321518255e+00 9.840637266361296653e+00 9.999140016047634916e+00 8.836954923104762827e+00 9.340186662218634694e+00 8.729171367171145945e+00
9.907976216194924746e+00 9.915759834924221749e+00 9.800783746258543871e+00 9.781360308591873221e+00 9.864675116712900760e+00 9.952892787623486726e+00 8.097552024431262652e+00 9.908217698526852857e+00 9.821895735955262552e+00 8.803663796740234915e+00 9.871806089224321568e+00 9.912794519527245996e+00
9.971502031926984699e+00 9.995604358506415821e+00 9.139659669660108676e+00 8.826193115980688120e+00 9.992438895241491537e+00 9.777764363493439248e+00 9.945156489125842825e+00 9.931255124274667168e+00 9.628502321226147131e+00 8.831966187956499681e+00 9.492741305429941434e+00 9.119642428618103480e+00
9.917536039746707388e+00 9.975163498217105129e+00 9.694401761828689956e+00 9.150972625827385798e+00 9.776135739742498387e+00 9.962824733843262948e+00 9.694121861980244503e+00 9.659470659222256117e+00 9.382745584771045699e+00 9.983255207432113920e+00 9.171783449373579700e+00 9.624190728408770212e+00
9.984834049610157081e+00 9.987830167737902443e+00 9.882752571352897419e+00 7.536394830159233393e+00 8.942729733274889625e+00 9.801668498953509001e+00 9.020150858565397556e+00 9.970934695237188450e+00 9.740661799976381374e+00 9.976450434286681102e+00 9.581854703268083640e+00 9.805962547790239014e+00
