time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	time.decay.11	time.decay.12	
1.024438530867657846e+02 9.109249253574941463e+01 1.049412956432171029e+02 1.079869908437763399e+02 1.027435021728230140e+02 1.029329400773354166e+02 1.023964931316727416e+02 1.094948081187438049e+02 1.040159604374527618e+02 8.894714063498382473e+01 1.086284663170484635e+02 1.052362105050495984e+02
9.547435102847620669e+01 1.133084814568501457e+02 9.587116720124063818e+01 1.137906515288550935e+02 9.369267962154481211e+01 9.742863941614308487e+01 9.934031110759326566e+01 8.537847199065753045e+01 9.334049867813844514e+01 1.082044483533027233e+02 1.094820795960118858e+02 1.031955226674564727e+02
1.066845786999122652e+02 7.805281368479207060e+01 9.733917063755542642e+01 1.146919433727155990e+02 9.580726393665446494e+01 9.888158771033995720e+01 8.753203529679275618e+01 9.619986239575615627e+01 1.021386879910829748e+02 1.210056074157730848e+02 1.103730756025043718e+02 1.049007769337766121e+02
9.987020734257346533e+01 7.955534967311584182e+01 1.018896938417240534e+02 1.066016754106095163e+02 9.988176443160904228e+01 1.095544789730493846e+02 1.002674678200151703e+02 9.802208721047274764e+01 9.737813695199027109e+01 1.137899189006764828e+02 1.018530087643108004e+02 1.031466668411582503e+02
9.689866580463581158e+01 1.226146072284037274e+02 9.881277647517119078e+01 1.050813964085121484e+02 9.293859579254146297e+01 1.023897871073257733e+02 9.454049082796194625e+01 1.044064080421166807e+02 9.928259825680218853e+01 9.698013690915018969e+01 9.445788550675983686e+01 9.025639390936896689e+01
1.024331079476023092e+02 9.902299622233360310e+01 1.014082725815867150e+02 9.740773390515903429e+01 9.223286678583244225e+01 9.949336062463444819e+01 9.898692628319972187e+01 9.437342237186582850e+01 8.939968661380673609e+01 8.773623846373808988e+01 1.052120984651980962e+02 1.108091161995752429e+02
9.731526034267297121e+01 9.660519072954969033e+01 1.019690653528194986e+02 1.015728037677545501e+02 9.265932969138734165e+01 9.934694154452147075e+01 1.000786057817449546e+02 1.013849540445204127e+02 9.221253808398327578e+01 9.116440221463818716e+01 9.950480700741186979e+01 9.969942072753056550e+01
9.645618487116004758e+01 9.225185662841299461e+01 1.044113343258533888e+02 8.094598290175036936e+01 9.498049025053248329e+01 9.466061918541626596e+01 9.907020223284132499e+01 1.073113140326163801e+02 1.092187325642999127e+02 9.969119301044054282e+01 9.082341805806160551e+01 1.027629548919259435e+02
1.010458666682804250e+02 9.946194482764289546e+01 1.002111022697482525e+02 1.128541521646154422e+02 1.101158411441837757e+02 8.417181990558074745e+01 1.092569324216641888e+02 8.104941816123653098e+01 1.041888210116241993e+02 9.959755404419918534e+01 1.036038181311242994e+02 1.051871223047254205e+02
9.065166689936256716e+01 9.090881843116834204e+01 1.002992518981130559e+02 1.122350383986630220e+02 9.287247263210733195e+01 1.167369473705037990e+02 9.168078408537458301e+01 8.743665623703658696e+01 9.808778010821784221e+01 9.907349263732255906e+01 9.777094085936842305e+01 9.899311511253556262e+01
1.079026207404136244e+02 7.875561230114931277e+01 1.047300225173291608e+02 9.671260990897218335e+01 9.302256785172482978e+01 8.662271589330282495e+01 8.742726039956961870e+01 9.811718535150023968e+01 1.065811056703031170e+02 1.028942361564307078e+02 9.038974899040830735e+01 9.758810764314591779e+01
