log.prior	log.likelihood	log.likelihood.test.set
-1.804685771342043881e+04 -1.010313575893364032e+04 -1.206239990256972305e+03
-1.807885042589496516e+04 -1.010121657361282632e+04 -1.201160191738801586e+03
-1.807219435446414354e+04 -1.010892990708761499e+04 -1.203160750740074945e+03
-1.808556843818149355e+04 -1.010284830742754275e+04 -1.192678349341807461e+03
-1.809356629137884738e+04 -1.009627064817924111e+04 -1.201095753102460094e+03
-1.808687912515692369e+04 -1.010357520876809576e+04 -1.196508642979054912e+03
-1.807240534836383085e+04 -1.009763745450625538e+04 -1.202263169478622331e+03
-1.809069766615712433e+04 -1.010592375775804248e+04 -1.209197498243581776e+03
-1.808855151491683864e+04 -1.009761273995439115e+04 -1.206271216867092789e+03
-1.806773175819867902e+04 -1.010378303179504837e+04 -1.207132769169275889e+03
-1.806613190470612972e+04 -1.010752591421142643e+04 -1.203534559995788641e+03
-1.806726455130239628e+04 -1.010111719116853055e+04 -1.215074789722826608e+03
-1.807069661101700331e+04 -1.011416811903549933e+04 -1.215075981731959928e+03
-1.807116595580101421e+04 -1.011275976345409435e+04 -1.209247863090674855e+03
-1.807781589272912606e+04 -1.010292837741976473e+04 -1.209209620582884781e+03
-1.806907690701125102e+04 -1.010265643578224626e+04 -1.206235126557602598e+03
-1.806325092526440130e+04 -1.010327388656197581e+04 -1.213830799466190456e+03
-1.806157924946882122e+04 -1.010248648337136910e+04 -1.214465134887362183e+03
-1.805731461912162558e+04 -1.010320906764754545e+04 -1.218126164205780697e+03
-1.805664463435509242e+04 -1.010144876110524274e+04 -1.216434711525825151e+03
-1.804219550561684082e+04 -1.010390753773292272e+04 -1.211650843667930531e+03
-1.805514049030268507e+04 -1.011035989168731248e+04 -1.214450190744613792e+03
-1.808951565065642353e+04 -1.011560358160238138e+04 -1.211447982282446901e+03
-1.810737024650247986e+04 -1.010476290191551379e+04 -1.207543973249757983e+03
-1.811855435094216955e+04 -1.010922430818908833e+04 -1.211453648257940586e+03
-1.811663550416293219e+04 -1.009730286778983282e+04 -1.215396948192980744e+03
-1.810631193292099124e+04 -1.010511811074909747e+04 -1.205405525056039096e+03
-1.810434417178699732e+04 -1.008806871647116168e+04 -1.207039493736765962e+03
-1.809891609712027275e+04 -1.008497611196247453e+04 -1.207570682147458683e+03
-1.809957043700299982e+04 -1.008713172068163840e+04 -1.208803994755387976e+03
-1.810085803790392674e+04 -1.009516806127230666e+04 -1.214157483400502770e+03
-1.808443880166491726e+04 -1.009217336928046825e+04 -1.205698244445877663e+03
-1.811145794442925762e+04 -1.008772651414652864e+04 -1.207033067227791435e+03
-1.808689819086693387e+04 -1.009695619848680326e+04 -1.215859920612760561e+03
-1.809701716716401279e+04 -1.008774547883456216e+04 -1.210795166673416588e+03
-1.810168989680281447e+04 -1.008982189253423712e+04 -1.210492004987990640e+03
-1.810033945717358802e+04 -1.008992646554554085e+04 -1.208958477060533824e+03
-1.810633287793784984e+04 -1.008646749735007870e+04 -1.214037015598868948e+03
-1.810222901816000012e+04 -1.007800624260341101e+04 -1.200101161072804643e+03
-1.807408329963761207e+04 -1.009148879166887673e+04 -1.211721924869252689e+03
-1.804500986181253393e+04 -1.010023818909584952e+04 -1.220552101436643625e+03
-1.804341142201294497e+04 -1.010299712244837428e+04 -1.211638888860558382e+03
-1.805128744705329882e+04 -1.010364524985176467e+04 -1.206214234660381862e+03
-1.803262939445062875e+04 -1.009931620241746532e+04 -1.201740840806623055e+03
-1.805815699783619493e+04 -1.009105160770231487e+04 -1.206571264693740432e+03
-1.805241999497133293e+04 -1.007856589054881442e+04 -1.207033535502892391e+03
-1.807501303421552802e+04 -1.007551275401532257e+04 -1.208570786852822039e+03
-1.805718859485931534e+04 -1.008311867082037679e+04 -1.210829929352669751e+03
-1.805784573158446437e+04 -1.009053801967818799e+04 -1.212199793290778416e+03
-1.807830475495625797e+04 -1.009289655545081223e+04 -1.217684207171625076e+03
-1.807974642393544491e+04 -1.008961409980400276e+04 -1.221826202180865039e+03
-1.809350850191917561e+04 -1.008955372923459072e+04 -1.220877116077910614e+03
-1.808978335188975689e+04 -1.007452383307641139e+04 -1.210790906206496857e+03
-1.807815010011683626e+04 -1.007530461378405016e+04 -1.208577852607296336e+03
-1.809271643561000019e+04 -1.007575922275306584e+04 -1.206254687326569183e+03
-1.808962166074388369e+04 -1.007444296758935889e+04 -1.206684338389567074e+03
-1.807680222312522528e+04 -1.007469235819520145e+04 -1.203570726636427025e+03
-1.807648938772199108e+04 -1.007556830508723942e+04 -1.215722178095577874e+03
-1.807610016996044214e+04 -1.007374067720136554e+04 -1.210539250541790352e+03
-1.808505961242797275e+04 -1.007603285208854868e+04 -1.207592982189141821e+03
